,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
2018-06-05,2748.8,509.589996,-2.4684480745962967,-7.6679130782802645,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-06,2772.35,510.30999800000006,-2.4057535317123735,-8.923631592952608,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-07,2770.37,513.419983,-2.7984688417721393,-8.981001360308783,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-08,2779.03,520.1099849999998,-2.730788750634394,-7.77046948095207,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-11,2782.0,524.119995,-2.827842512644263,-6.338574722311829,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-12,2786.85,525.070007,-2.619661613937996,-5.578237064841285,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-13,2775.63,523.1900019999998,-2.84741230250124,-5.7145468784481785,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-14,2782.49,523.200012,-3.2073023526015043,-5.554445296819166,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-15,2779.66,530.119995,-4.041784903028923,-4.36916528129403,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-18,2773.75,522.289978,-4.271583975261606,-5.478141760091749,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-19,2762.59,525.0,-5.197251925162316,-5.065009582737923,OUTPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
2018-06-20,2767.32,525.570007,-4.612340708620433,-4.6896226770893,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
